practice_id,practice_name,zone,speciality,monetisable_txns
1122309,Apollo Clinic,electronics city,General Dermatology,124
1466123,Medicover Hospitals - Bangalore,whitefield,Cardiologist,124
684215,Devi-Eye-Hospitals.,hsr layout,General Ophthalmology,123
1380421,Trini Healthcare,indiranagar,General Physician,123
649815,SurgiDerma Hospital,kalyan nagar,General Dermatology,123
702709,Apollo Medical Centre,whitefield,General Dermatology,123
1163290,Manipal Hospital,hsr layout,General Physician,122
1322328,Sai Thunga Hospitals,hsr layout,Orthopaedics,122
1319951,Aster RV Hospital,jp nagar,Endocrinologist,122
1146253,Aster CMI Hospital,kalyan nagar,Cardiologist,122
1133192,Paripoorna Medical Centre,kalyan nagar,General Dermatology,122
630200,Manipal Hospitals Old Airport Road,marathahalli,Endocrinologist,122
754955,Bangaluru Neuro Centre,malleswaram,Neurologist,121
1102131,Manipal Hospital Whitefield,whitefield,Neurologist,120
2076082,Kauvery Hospital,marathahalli,Orthopaedics,119
700015,DermaZeal Clinic,hsr layout,General Dermatology,118
1069213,Aparnaa Women's Clinic,hsr layout,General Gynecology,118
1022776,Veditha Mind Care Clinic,malleswaram,General Psychiatry,118
1143671,Imprssns n Exprssns,whitefield,General Dentistry,118
1102630,Trinity Gastroentrology And Liver Clinic,kalyan nagar,Gastroenterologist,116
1146253,Aster CMI Hospital,kalyan nagar,Urologist,115
1147974,Apollo Cradle & Children’s Hospital,whitefield,General Pediatrics,115
1466123,Medicover Hospitals - Bangalore,whitefield,General Dermatology,113
1161562,Skin Clinic,hsr layout,General Dermatology,112
1152151,The Eye Foundation Super Specialty Eye Hospital,hsr layout,General Ophthalmology,112
731171,Dr. Shilpa G B Bloom clinic,jp nagar,General Gynecology,112
776696,Trilife Hospital,kalyan nagar,ENT,112
896645,Apollo Clinic,indiranagar,General Physician,111
1152266,Neotis Skin Care Clinic,kalyan nagar,General Dermatology,111
1102131,Manipal Hospital Whitefield,whitefield,General Pediatrics,111
1130576,Maarga,yelahanka,General Psychiatry,111
643523,Mamatha Nursing Home,malleswaram,Gastroenterologist,110
1403055,Aster Whitefield Hospital,whitefield,General Dermatology,110
1363734,Aiconic Skin Clinic,hsr layout,General Dermatology,109
625693,Motherhood Hospital,indiranagar,General Gynecology,109
797623,Cloudnine Hospital - Jayanagar,jp nagar,General Gynecology,109
1146253,Aster CMI Hospital,kalyan nagar,ENT,108
1102131,Manipal Hospital Whitefield,whitefield,General Gynecology,108
1106420,Motherhood Hospital,whitefield,General Gynecology,108
1366494,Srushti Gastro And Liver Clinic,hsr layout,Gastroenterologist,107
892238,Sri Yashoda Children's Clinic,hsr layout,General Pediatrics,106
1319951,Aster RV Hospital,jp nagar,Orthopaedics,106
648474,Dental and Orthodontic Clinic,kalyan nagar,General Dentistry,106
1403055,Aster Whitefield Hospital,whitefield,Endocrinologist,106
1466123,Medicover Hospitals - Bangalore,whitefield,General Surgeon,106
896645,Apollo Clinic,indiranagar,ENT,105
1146253,Aster CMI Hospital,kalyan nagar,General Dermatology,105
1163290,Manipal Hospital,hsr layout,General Dermatology,104
1268239,Tirumala Orthopedic and Pediatric Hospital,kr puram,General Pediatrics,104
767126,Dr. Jain's Eye Clinic,hsr layout,General Ophthalmology,103
1102131,Manipal Hospital Whitefield,whitefield,Gastroenterologist,103
1389634,Kinder Women's Hospital and Fertility Centre,whitefield,General Pediatrics,103
2070139,Skin Aura Clinic,hsr layout,General Dermatology,102
1259763,Compathy Health,hsr layout,General Psychiatry,102
1290696,Parency IVF Hospital,jp nagar,General Gynecology,102
1122944,Apollo Cradle & Children’s Hospital,jp nagar,General Gynecology,102
1150078,Shanthi Shell Fertility Centre,jp nagar,General Gynecology,102
728755,Apollo Hospital,jp nagar,General Physician,102
1146253,Aster CMI Hospital,kalyan nagar,General Physician,102
634957,"Manipal Hospital, Millers Road ( Vikram Hospitals )",malleswaram,Pulmonologist,102
630200,Manipal Hospitals Old Airport Road,marathahalli,Oncologist,102
1131816,Manipal Hospital Varthur Road (formerly Columbia Asia Hospital),whitefield,General Physician,102
1149834,Greenview Medical Center,hsr layout,General Dermatology,101
1109281,Sankalp Nethralaya and PolyClinic,hsr layout,General Ophthalmology,100
630200,Manipal Hospitals Old Airport Road,marathahalli,General Gynecology,100
1403055,Aster Whitefield Hospital,whitefield,Gastroenterologist,100
1163292,Excel Dental Care,jp nagar,General Dentistry,99
1368399,Dr. Renu's Skin And Hair Clinic,hsr layout,General Dermatology,96
1403055,Aster Whitefield Hospital,whitefield,General Psychiatry,96
1126141,Apollo Cradle & Children’s Hospital,hsr layout,General Gynecology,95
879669,Apollo Clinic,hsr layout,General Physician,95
879669,Apollo Clinic,hsr layout,Orthopaedics,95
686442,32 Smiles Multispeciality Dental Clinic,marathahalli,General Dentistry,95
1255222,Care and Cure Fertility Centre,whitefield,General Pediatrics,95
1131816,Manipal Hospital Varthur Road (formerly Columbia Asia Hospital),whitefield,Orthopaedics,95
712236,Apollo Clinic,hsr layout,Orthopaedics,94
728755,Apollo Hospital,jp nagar,Cardiologist,94
630200,Manipal Hospitals Old Airport Road,marathahalli,Cardiologist,94
771883,Carewell Health,whitefield,General Psychiatry,94
634957,"Manipal Hospital, Millers Road ( Vikram Hospitals )",malleswaram,Orthopaedics,92
1423815,Sunlife Hospital,hsr layout,ENT,91
1155255,Skinray Skin Hair & Laser Clinic,hsr layout,General Dermatology,91
984622,Manasi Clinic,hsr layout,General Gynecology,91
1524615,Allo Sexual Health Clinic,hsr layout,General Psychiatry,91
776696,Trilife Hospital,kalyan nagar,General Psychiatry,91
1322328,Sai Thunga Hospitals,hsr layout,ENT,90
1161498,Jeevottama Health,hsr layout,General Alt Medicine,90
1108669,SPANDANA HEART AND SUPER SPECIALITY HOSPITAL,hsr layout,General Physician,90
1352597,Cura Hospitals,indiranagar,General Physician,90
1466123,Medicover Hospitals - Bangalore,whitefield,ENT,90
1691212,Apollo Cradle & Children's Hospital,electronics city,General Gynecology,89
1146253,Aster CMI Hospital,kalyan nagar,General Surgeon,89
939499,Cloudnine Hospital - Old Airport Road,marathahalli,General Gynecology,89
1423815,Sunlife Hospital,hsr layout,Orthopaedics,88
1397647,Praapthi Chest and Women Clinic,hsr layout,Pulmonologist,88
1322435,Vitals Skin and hair clinic,whitefield,General Dermatology,88
1312752,Kauvery Hospitals,electronics city,Orthopaedics,87
1133664,Akshaya Neuro and Multispeciality Hospital,indiranagar,Neurologist,87
1375819,Dr Ruchi's ENT Care Clinic,marathahalli,ENT,87
1606687,Apollo Clinic Kadugodi,whitefield,Orthopaedics,87
1240541,My Vision Eye Clinic,hsr layout,General Ophthalmology,86
2089448,Sakra IKOC Multispeciality Hospital,hsr layout,Urologist,86
899562,Dr. Parthasarathi's Hair and Skin Hospitals,indiranagar,General Dermatology,86
1403055,Aster Whitefield Hospital,whitefield,Pulmonologist,86
1458281,DYU Aesthetics,hsr layout,General Dermatology,85
712236,Apollo Clinic,hsr layout,General Psychiatry,85
695110,Skin Remediez,indiranagar,General Dermatology,85
1041383,Manipal Hospital,jp nagar,Orthopaedics,85
1497630,Sattva Mind Clinic,kr puram,General Psychiatry,85
1451510,Sparsh Hospital,yelahanka,General Physician,85
1163290,Manipal Hospital,hsr layout,ENT,84
648559,Smiles N Invisalign and Dental Implant Centre,hsr layout,General Dentistry,84
1319951,Aster RV Hospital,jp nagar,Gastroenterologist,84
752977,Cloudnine Hospital - HRBR,kalyan nagar,General Gynecology,84
1403055,Aster Whitefield Hospital,whitefield,ENT,84
1163290,Manipal Hospital,hsr layout,Neurologist,83
1142534,Kaveri Healthcare,indiranagar,General Physician,83
1403894,Apollo Clinic,marathahalli,ENT,83
2089563,Devi Super Speciality Eye Hospital,ramagondanahalli,General Ophthalmology,83
1131816,Manipal Hospital Varthur Road (formerly Columbia Asia Hospital),whitefield,General Gynecology,83
