practice_id,practice_name,zone,speciality,monetisable_txns
1407429,Belenus Champion Hospital,hsr layout,Pulmonologist,3
1067398,Add-on Scans & Labs,hsr layout,Radiology,3
1595878,"Sakra World Hospital, Bangalore",hsr layout,Urologist,3
1109193,Shree Vaishnavi Heart Centre Multi Speciality Clinic,hsr layout,Urologist,3
1135026,Sakra World Hospital,hsr layout,Veterinarian,3
637664,Shanelles Beauty Parlour,indiranagar,Unknown,3
867368,Frontline Multispeciality Hospital,indiranagar,Unknown,3
896645,Apollo Clinic,indiranagar,Cardiologist,3
1123002,Advit Diet Clinic,indiranagar,Dietitian,3
1222239,Zealth,indiranagar,Dietitian,3
635139,The Sagar Clinic,indiranagar,ENT,3
924716,ENT Clinic,indiranagar,ENT,3
1380087,"Dr. Sarathi's Diabetes, Endocrine, Nutrition and Wellness Centre",indiranagar,Endocrinologist,3
1134415,fortis la femme,indiranagar,Gastroenterologist,3
1380087,"Dr. Sarathi's Diabetes, Endocrine, Nutrition and Wellness Centre",indiranagar,General Alt Medicine,3
1006834,Dr. Shetty's Dental,indiranagar,General Dentistry,3
1604472,Small Wonders- Your Child's Dental Home,indiranagar,General Dentistry,3
1691179,Apollo Dental Clinic,indiranagar,General Dentistry,3
1136926,George Dental Clinic,indiranagar,General Dentistry,3
648962,Dr. C Jagadeesh's Dental Clinic,indiranagar,General Dentistry,3
649247,Supriya Dental Clinic,indiranagar,General Dentistry,3
1352597,Cura Hospitals,indiranagar,General Dentistry,3
654658,Impression Dental Clinic,indiranagar,General Dentistry,3
701970,Dianova Dental And  Implantology Centre,indiranagar,General Dentistry,3
1278081,Emerald Dental,indiranagar,General Dentistry,3
1131017,Star Dental Clinic,indiranagar,General Dentistry,3
1300716,The Dental Lounge,indiranagar,General Dentistry,3
1158419,V Dental  &   Implant Center,indiranagar,General Dentistry,3
1414232,Oral Rehabilitation Center,indiranagar,General Dentistry,3
2075964,Dentethix Smile Studio,indiranagar,General Dentistry,3
634184,St. Philomena's Hospital,indiranagar,General Dermatology,3
1591541,RR HOSPITAL,indiranagar,General Dermatology,3
635139,The Sagar Clinic,indiranagar,General Dermatology,3
705902,Dermacare Clinic,indiranagar,General Dermatology,3
779222,Abhayahasta Multispeciality Hospital,indiranagar,General Dermatology,3
1437096,Q Medical Centre and Hospital,indiranagar,General Gynecology,3
636836,Vydehi Super Speciality Hospital(Mallya Hospital),indiranagar,General Gynecology,3
1223160,Sanjeevani Female Specialty Clinic,indiranagar,General Gynecology,3
635907,Manjushree Speciality Hospital,indiranagar,General Gynecology,3
663280,Al - Sahha Gynaec Centre,indiranagar,General Gynecology,3
690424,Safa Clinic,indiranagar,General Gynecology,3
1171289,TruHealing,indiranagar,General Gynecology,3
984251,"Vardhan Fertility, Laparoscopy & Women'S Care Centre",indiranagar,General Gynecology,3
1053131,Sita Bhateja Specialty Hospital,indiranagar,General Gynecology,3
1223685,Primrose Women’s Clinic,indiranagar,General Gynecology,3
1659064,Manipal Clinic Indiranagar,indiranagar,General Ophthalmology,3
665333,Nethradhama Super Speciality Hospital,indiranagar,General Ophthalmology,3
1352597,Cura Hospitals,indiranagar,General Pediatrics,3
811907,Sai Divine ENT Centre,indiranagar,General Pediatrics,3
635907,Manjushree Speciality Hospital,indiranagar,General Pediatrics,3
639444,GM Health Care Pvt. Ltd,indiranagar,General Pediatrics,3
1180227,HOSMAT HOSPITAL,indiranagar,General Pediatrics,3
615538,All - Cure Clinic & Diabetic Research Center,indiranagar,General Physician,3
616193,Pavan Clinic,indiranagar,General Physician,3
987018,Republic Hospital,indiranagar,General Physician,3
641887,Pooja 3D Hospital & Diabetes Centre,indiranagar,General Physician,3
662948,Medha Speciality Centre,indiranagar,General Physician,3
1286956,Vaasu Clinic,indiranagar,General Physician,3
789461,Sunbeam Clinics,indiranagar,General Physician,3
1139606,Dr. Mohan's Diabetes Specialities Centre,indiranagar,General Physician,3
687712,SS Labs,indiranagar,General Physician,3
796222,Vibrant Life Medical & Wellness Clinic,indiranagar,General Physician,3
1280865,Srinivasa Eye Hospital,indiranagar,General Physician,3
1308439,Clinic,indiranagar,General Physician,3
1413791,Keza Skin and Hair Clinic,indiranagar,General Physician,3
1715978,Empower Mind & Brain Clinic,indiranagar,General Psychiatry,3
1132194,Montfort Counselling Centre,indiranagar,General Psychiatry,3
1069174,Dr. Rukmani Devanathan,indiranagar,General Psychiatry,3
1158343,Medizone Medical Center,indiranagar,General Psychiatry,3
1585958,KASPER MULTI SPECIALITY CLINIC,indiranagar,General Psychiatry,3
659230,Banaswadi medical centre,indiranagar,General Surgeon,3
1181272,Ribha Homeo Clinic,indiranagar,Homeopathy,3
919428,Homeopathy & Healing Clinic,indiranagar,Homeopathy,3
1026549,Dr Batra's Positive Health Clinic Pvt Ltd,indiranagar,Homeopathy,3
636120,Chaya Super Specialty Hospital,indiranagar,Nephrologist,3
1234395,Comfort Multispeciality Hospital,indiranagar,Neurologist,3
686906,City Hospital,indiranagar,Orthopaedics,3
647655,Lotus Medical Center,indiranagar,Orthopaedics,3
625693,Motherhood Hospital,indiranagar,Orthopaedics,3
1261590,Alleviate Pain And Spine Management Clinic,indiranagar,Orthopaedics,3
1180639,Vedanta Gastro Centre,indiranagar,Orthopaedics,3
1410929,Tekal Hospital,indiranagar,Orthopaedics,3
1152614,"Al Tabeeb - Fitness, Physiotherapy and Nutrition",indiranagar,Physiotherapist,3
686140,Hands On Physiotherapy Clinic And Rehabilitation Center,indiranagar,Physiotherapist,3
701971,Physionext,indiranagar,Physiotherapist,3
842148,Atlas Chiropractic & Wellness,indiranagar,Physiotherapist,3
1393544,B2 Physiotherapy Ortho and Sports Rehab Clinic,indiranagar,Physiotherapist,3
1346063,Kasper Multispecialty Clinic,indiranagar,Pulmonologist,3
636836,Vydehi Super Speciality Hospital(Mallya Hospital),indiranagar,Radiology,3
1208854,Royal Bangalore Hospital,indiranagar,Sexologist,3
1109845,Chinmaya Mission Hospital,indiranagar,Urologist,3
1368476,Dr. Digest Advanced Gastro And Cancer Care,indiranagar,Urologist,3
1444484,Vijayashree Hospitals,jigani,General Pediatrics,3
2172066,Ortho Care Physiotherapy Clinic,jigani,Physiotherapist,3
637671,Sri Krishna Seva Shrama Hospital,jp nagar,Unknown,3
730879,Srinidhi Clinic,jp nagar,Unknown,3
814706,Apollo Speciality Hospitals,jp nagar,Cardiologist,3
1468830,Arka Anugraha Hospital,jp nagar,Cardiologist,3
780198,First Eat Right Clinic,jp nagar,Dietitian,3
882392,Diet clinic,jp nagar,Dietitian,3
1122944,Apollo Cradle & Children’s Hospital,jp nagar,ENT,3
1146207,Dharani ENT and Health Care Clinic,jp nagar,ENT,3
1233155,The Sagar Clinic,jp nagar,ENT,3
1136311,Fortis Hospital,jp nagar,ENT,3
738741,Excel Care Hospital,jp nagar,ENT,3
1587827,Devagiri Hospital,jp nagar,Endocrinologist,3
1280539,Vista Speciality Clinic,jp nagar,Gastroenterologist,3
653157,Atreya Ayurveda Hospital,jp nagar,General Alt Medicine,3
1347910,AIKYA FERTILITY & RESEARCH CENTER,jp nagar,General Alt Medicine,3
1258202,Aditi Dental Clinic,jp nagar,General Dentistry,3
796280,Bangalore Dental & Cosmetology,jp nagar,General Dentistry,3
674027,Shree Jana's Dental care,jp nagar,General Dentistry,3
649094,"Dental Nest, a Multi-Speciality Oral Care Centre",jp nagar,General Dentistry,3
692537,Spectrum Dental Clinic,jp nagar,General Dentistry,3
613144,Denta Care Clinic,jp nagar,General Dentistry,3
613622,K P Dental Clinic,jp nagar,General Dentistry,3
683429,Dental Profiles,jp nagar,General Dentistry,3
849564,Conversant Dental Clinic,jp nagar,General Dentistry,3
797623,Cloudnine Hospital - Jayanagar,jp nagar,General Dentistry,3
730715,Orchid Dental Care,jp nagar,General Dentistry,3
1024497,Smile Signature Dental and Health Clinic,jp nagar,General Dentistry,3
1132634,Rainbow Children's Hospital,jp nagar,General Dentistry,3
1062806,ManDent Dental Clinic,jp nagar,General Dentistry,3
1250015,Enamel Dental Clinic,jp nagar,General Dentistry,3
1456700,"Laksha Care Dental, Skin & Hair Speciality Clinic",jp nagar,General Dentistry,3
1122944,Apollo Cradle & Children’s Hospital,jp nagar,General Dermatology,3
1589959,DERMASCULPT CLINIC,jp nagar,General Dermatology,3
684320,Ramakrishna Super Speciality Hospital,jp nagar,General Dermatology,3
663052,JP Nagar Diagnostics and Health Care,jp nagar,General Dermatology,3
901731,Meenakshi Cosmo Derma Care,jp nagar,General Dermatology,3
1170824,Phoenix Speciality Clinic,jp nagar,General Dermatology,3
1469839,Evenly Skin Hair Body And Laser Clinic,jp nagar,General Dermatology,3
1422545,Skin Xperts Super Speciality Skin Hair And Laser Clinics,jp nagar,General Dermatology,3
1586163,"Garden City Hospital, Jayanagar, Bangalore",jp nagar,General Gynecology,3
789979,"Fortis Hospital, Bannerghata Road, Bengaluru",jp nagar,General Gynecology,3
706092,Sri Devi Hospital,jp nagar,General Gynecology,3
767577,Shree Children's And Women's Clinic,jp nagar,General Gynecology,3
1241339,Shree Children's and Women's Clinic,jp nagar,General Gynecology,3
1137589,GarbhaGudi IVF Centre - Jayanagar,jp nagar,General Gynecology,3
709366,Prema Nursing Home Maternity and Casualty Centre,jp nagar,General Gynecology,3
1147429,Medcure + Polyclinic,jp nagar,General Gynecology,3
929133,Hope Fertility And Womens Health Care Center,jp nagar,General Gynecology,3
722829,Infilife Multispeciality Centre,jp nagar,General Gynecology,3
1265833,Indira IVF,jp nagar,General Gynecology,3
1277173,Aprameeyaa Fertility and Women's Clinic,jp nagar,General Gynecology,3
635163,Deepak Nursing Home,jp nagar,General Gynecology,3
1317376,Sri Lakshmi Eye Care,jp nagar,General Ophthalmology,3
1041383,Manipal Hospital,jp nagar,General Ophthalmology,3
922877,Bangalore Nethralaya,jp nagar,General Ophthalmology,3
1053240,Dr. Agarwal's Eye Hospital,jp nagar,General Ophthalmology,3
1148405,Clear View Eye Clinic,jp nagar,General Ophthalmology,3
689158,Aikya Speciality Centre,jp nagar,General Pediatrics,3
730844,Cauvery Children's Clinic,jp nagar,General Pediatrics,3
767290,The Child Clinic,jp nagar,General Pediatrics,3
1271386,Shree Akshaya Clinic,jp nagar,General Pediatrics,3
2093573,Neurogen Metabolics,jp nagar,General Pediatrics,3
786570,Green City Hospital,jp nagar,General Pediatrics,3
1364213,Happy Kids Pediatric Clinic,jp nagar,General Pediatrics,3
1273967,Cura Hospitals,jp nagar,General Pediatrics,3
2070015,Prakruthi Brain And Spine Center,jp nagar,General Pediatrics,3
641657,Deepa Clinic,jp nagar,General Physician,3
835600,Vanamala Clinic,jp nagar,General Physician,3
701051,Rajshekar Hospital,jp nagar,General Physician,3
1258982,Marigold Clinics & Diagnostics,jp nagar,General Physician,3
979846,The Sagar Centre for Diabetes,jp nagar,General Physician,3
658459,Sevakshetra Hospital,jp nagar,General Physician,3
1287801,Saraswati Clinic,jp nagar,General Physician,3
685235,Bapu Clinic,jp nagar,General Physician,3
1594392,"Apollo Clinic, J P Nagar, Bangalore",jp nagar,General Physician,3
1069904,Aksha Hospital,jp nagar,General Physician,3
1368218,fortis hospital,jp nagar,General Physician,3
1599069,Sugar.Fit Diabetes Centers for Excellence,jp nagar,General Physician,3
1468022,Cure And Care Clinic,jp nagar,General Psychiatry,3
1259548,Unwind Central,jp nagar,General Psychiatry,3
1370818,Blooming Minds,jp nagar,General Psychiatry,3
1466341,Raksha Hospital,jp nagar,General Psychiatry,3
1466341,Raksha Hospital,jp nagar,General Surgeon,3
977452,Meenakshi Urology Clinic And Surgical Centre,jp nagar,General Surgeon,3
1219367,Healing Hands Clinic,jp nagar,General Surgeon,3
1610500,Sattva Speciality Clinic,jp nagar,General Surgeon,3
649987,Swathi Homoeo Clinic,jp nagar,Homeopathy,3
1273171,Sanjeevini Homeopathy,jp nagar,Homeopathy,3
1260435,Sree Homoeo Health Clinic,jp nagar,Homeopathy,3
1322156,Practo Instant Full Time 2,jp nagar,Homeopathy,3
1141637,Apollo Clinic,jp nagar,Nephrologist,3
723136,Mathru Multispecialty Hospital,jp nagar,Neurologist,3
2167038,Spike & Wave Neuro Nephro Clinic and Diagnostics Centre,jp nagar,Neurologist,3
1041383,Manipal Hospital,jp nagar,Oncologist,3
1136311,Fortis Hospital,jp nagar,Oncologist,3
1595922,Sammprada Hospital,jp nagar,Oncologist,3
1467768,Preksha Surgi And Ortho Care,jp nagar,Orthopaedics,3
2070015,Prakruthi Brain And Spine Center,jp nagar,Orthopaedics,3
650215,Parimala Health Care Services,jp nagar,Orthopaedics,3
937536,Amogh Ortho Center,jp nagar,Orthopaedics,3
658459,Sevakshetra Hospital,jp nagar,Orthopaedics,3
1595499,"Manipal Hospital, Jayanagar, Bangalore",jp nagar,Orthopaedics,3
907792,Ziathlon - Sports Medicine Clinic,jp nagar,Orthopaedics,3
1587827,Devagiri Hospital,jp nagar,Orthopaedics,3
1120561,Superspecialty Clinic,jp nagar,Orthopaedics,3
1137957,Srishti Ortho Clinic,jp nagar,Orthopaedics,3
1196702,Reflex Orthopaedic Clinic,jp nagar,Orthopaedics,3
1466341,Raksha Hospital,jp nagar,Orthopaedics,3
1592501,DR PRABHU ORTHOPAEDIC & ENT CENTRE,jp nagar,Orthopaedics,3
1233584,Prime Orthopedics,jp nagar,Physiotherapist,3
1135120,J.P Nagar Medical and Physiotherapy Centre,jp nagar,Physiotherapist,3
1186242,"Vibes -  Slimming, Beauty & Laser Clinic",jp nagar,Physiotherapist,3
1317080,Fix You Fit- Your Physios and Docs,jp nagar,Physiotherapist,3
1474358,Medheart Diagnostics and Clinics,jp nagar,Radiology,3
1365072,Camry Hospitals,jp nagar,Urologist,3
1586820,Pragathi Multi Speciality Hospital,jp nagar,Urologist,3
814706,Apollo Speciality Hospitals,jp nagar,Urologist,3
1596697,Sugathi Liver And Vascular Clinic,jp nagar,Vascular Surgeon,3
849588,Reliv Pain Center,jp nagar,Veterinarian,3
639998,Yvollandas Spa & Beauty Salon,kalyan nagar,Unknown,3
901806,3K Health Care Pvt. Ltd.,kalyan nagar,Unknown,3
752977,Cloudnine Hospital - HRBR,kalyan nagar,Unknown,3
1277613,Bangalore Diabetes Centre,kalyan nagar,Cardiologist,3
1184499,VR Breathe - Well Clinic,kalyan nagar,Cardiologist,3
637575,Manipal Hospital,kalyan nagar,Cosmetic/Plastic Surgeon,3
1352521,Trust-In  Hospital,kalyan nagar,Cosmetic/Plastic Surgeon,3
1714955,IIGU Hospital-Indus Institute of Gastro Uro,kalyan nagar,Dietitian,3
1604381,Foods & Nutrition by Silky Mahajan,kalyan nagar,Dietitian,3
1259418,AyurVAID Hospitals,kalyan nagar,General Alt Medicine,3
1320308,White Dental Care,kalyan nagar,General Dentistry,3
651160,NISCHAL DENTAL CLINIC,kalyan nagar,General Dentistry,3
1597769,Sunshine Dental and Polyclinic,kalyan nagar,General Dentistry,3
846661,Well Care Dental Solutions,kalyan nagar,General Dentistry,3
681840,Om Sai Dental Clinic,kalyan nagar,General Dentistry,3
693124,Ora Care,kalyan nagar,General Dentistry,3
1239051,Dentacode,kalyan nagar,General Dentistry,3
1438336,Precise Dental Clinic,kalyan nagar,General Dentistry,3
738998,Bangalore Baptist Hospital,kalyan nagar,General Dermatology,3
1135914,The Skin Chakra Clinic,kalyan nagar,General Dermatology,3
1404851,Eesha Multispeciality Hospital,kalyan nagar,General Dermatology,3
1600432,Vega Curre Multispecialty Clinic,kalyan nagar,General Gynecology,3
1331151,Shree Manyata Hospitals,kalyan nagar,General Gynecology,3
1101812,Women's Speciality Polyclinic & Diagnostic Clinic,kalyan nagar,General Gynecology,3
1442002,Proactive For Her,kalyan nagar,General Gynecology,3
1399797,S P Clinic,kalyan nagar,General Gynecology,3
1434076,Samvridhi Medical and Dental Care,kalyan nagar,General Gynecology,3
738998,Bangalore Baptist Hospital,kalyan nagar,General Gynecology,3
738998,Bangalore Baptist Hospital,kalyan nagar,General Ophthalmology,3
919625,Amrik Nethralaya Super Speciality Eye Hospital And retina centre,kalyan nagar,General Ophthalmology,3
1015106,Navashakthi Nethralaya,kalyan nagar,General Ophthalmology,3
1282078,SRI EYE CARE Speciality Eye Hospital,kalyan nagar,General Ophthalmology,3
1714955,IIGU Hospital-Indus Institute of Gastro Uro,kalyan nagar,General Pediatrics,3
1057214,Chethana Super Speciality Child Clinic,kalyan nagar,General Pediatrics,3
723113,Spandana Hospital and Healthcare centre,kalyan nagar,General Pediatrics,3
1595316,Spandana hospital and Hcc,kalyan nagar,General Pediatrics,3
1395974,Leela Wellness Corner,kalyan nagar,General Pediatrics,3
1352521,Trust-In  Hospital,kalyan nagar,General Pediatrics,3
1434076,Samvridhi Medical and Dental Care,kalyan nagar,General Pediatrics,3
1156656,Motherhood Hospital,kalyan nagar,General Physician,3
1381908,Hosmat Hospital Pvt Ltd,kalyan nagar,General Physician,3
617062,Shree Guru Clinic,kalyan nagar,General Physician,3
1220559,Imax Clinics,kalyan nagar,General Physician,3
1153550,The Family Doctor,kalyan nagar,General Physician,3
1150205,North Bangalore Hospital,kalyan nagar,General Surgeon,3
1381908,Hosmat Hospital Pvt Ltd,kalyan nagar,Nephrologist,3
1150205,North Bangalore Hospital,kalyan nagar,Neurologist,3
1133830,SilverLine Diagnostics,kalyan nagar,Orthopaedics,3
760330,Synergy Physiotherapy Clinic,kalyan nagar,Physiotherapist,3
1359071,Dr. Care Homeopathy Hospitals,kalyan nagar,Physiotherapist,3
1714955,IIGU Hospital-Indus Institute of Gastro Uro,kalyan nagar,Physiotherapist,3
1152114,Bangalore Orthopaedic And Surgical Hospital,kalyan nagar,Urologist,3
1381908,Hosmat Hospital Pvt Ltd,kalyan nagar,Urologist,3
2078747,Sparsh Hospital,kalyan nagar,Urologist,3
927402,Koshys Hospital,kalyan nagar,Urologist,3
637575,Manipal Hospital,kalyan nagar,Vascular Surgeon,3
2081823,Manipal Hospital,kanakapura road,Cardiologist,3
2081823,Manipal Hospital,kanakapura road,Vascular Surgeon,3
774417,Vijayalakshmi Clinic,kr puram,Unknown,3
684678,Patil Hospital,kr puram,ENT,3
1292895,Dr. G Mohan Clinic,kr puram,General Pediatrics,3
1603779,Sugar.Fit Diabetes Centres For Excellence,kr puram,General Physician,3
1053082,Aaxis Super Speciality Hospital,kr puram,Orthopaedics,3
659077,S.S.G Hospital,magadi road,General Dentistry,3
1426308,Girish Children Clinic,magadi road,General Pediatrics,3
1306542,Sampath Speciality Clinic,magadi road,General Physician,3
1133062,Boss Speciality Clinics & Diagnostic Centre,magadi road,Orthopaedics,3
634823,Medi CT Scan And Diagnostics,malleswaram,Unknown,3
628256,Sukruthi Eye clinic,malleswaram,Unknown,3
638323,Seven Nine Diagnostics,malleswaram,Unknown,3
635268,K C General Hospital,malleswaram,Unknown,3
1603498,Magnus Hearing and Speech Clinic,malleswaram,Audiologist,3
634957,"Manipal Hospital, Millers Road ( Vikram Hospitals )",malleswaram,Cosmetic/Plastic Surgeon,3
1151228,Venkat Center for Skin and Plastic Surgery,malleswaram,Cosmetic/Plastic Surgeon,3
1139007,Poornima Hospital,malleswaram,ENT,3
958138,Spandana Nursing Home,malleswaram,ENT,3
689844,Shree Shyla Clinic,malleswaram,ENT,3
702512,Sreedhar Medicals Multi Speciality Clinic & Diagnostic Centre,malleswaram,ENT,3
637572,MS Ramaiah Memorial Hospital,malleswaram,ENT,3
655974,Medentzz,malleswaram,ENT,3
1434672,"Neravu ENT, Allergy And Vascular Clinic",malleswaram,ENT,3
673406,Sumathi Nursing Home,malleswaram,Gastroenterologist,3
637462,Ayurvedism,malleswaram,General Alt Medicine,3
1321601,Bona-fide Ayurvedic Centre,malleswaram,General Alt Medicine,3
700088,Aspen Dental Care,malleswaram,General Dentistry,3
690194,32t Dental Clinic,malleswaram,General Dentistry,3
711687,Manipal Hospital Malleshwaram,malleswaram,General Dentistry,3
684385,Magi Orthodontic Dental Care Centre,malleswaram,General Dentistry,3
649732,Shroff Dental Clinic & Orthodontic Center,malleswaram,General Dentistry,3
1219540,32t Dental Clinic,malleswaram,General Dentistry,3
1129705,Vijaya Dental Clinic,malleswaram,General Dentistry,3
954587,Axiss Dental Clinic,malleswaram,General Dentistry,3
647833,Pooja Dental Clinic,malleswaram,General Dentistry,3
687497,Koushik Dental Care Orthodontic & Implantology Center,malleswaram,General Dentistry,3
626922,Ganga Hospital,malleswaram,General Dentistry,3
1160590,Samhita Dental and Poly Clinic,malleswaram,General Dentistry,3
1135306,Dental Concerns,malleswaram,General Dentistry,3
1262024,Preethi Dental Clinic,malleswaram,General Dentistry,3
1114958,Bhagwan Mahavir Jain Hospital,malleswaram,General Dermatology,3
1595756,Apollo Clinic,malleswaram,General Dermatology,3
1156867,Family Hospital,malleswaram,General Dermatology,3
738198,Sujala Polyclinic & Laboratory,malleswaram,General Dermatology,3
1177363,Rashmi Skin and Hair Clinic,malleswaram,General Dermatology,3
1237809,RT Skin Clinic,malleswaram,General Dermatology,3
708758,Narayana Super Speciality Hospital,malleswaram,General Dermatology,3
2167666,Mohana Skin and Hair Clinic,malleswaram,General Dermatology,3
2094651,Apollo Clinic,malleswaram,General Gynecology,3
1368939,URVI - Gynecologist And Women's Oncology,malleswaram,General Gynecology,3
848768,Janani Clinics,malleswaram,General Gynecology,3
889029,Sanjeevini MultispecialIty Hospital,malleswaram,General Gynecology,3
695178,Chiraayu Hospital,malleswaram,General Gynecology,3
635134,Sneha Orthopaedic And Gynae Care Center,malleswaram,General Gynecology,3
2078660,Veena Medical Center,malleswaram,General Gynecology,3
631020,Indira eye clinic,malleswaram,General Ophthalmology,3
665342,Nethradhama Superspeciality Eye Hospital,malleswaram,General Ophthalmology,3
628259,Bhagwan Mahaveer Jain Nethralaya,malleswaram,General Ophthalmology,3
993841,Aruna Nethralaya,malleswaram,General Ophthalmology,3
673406,Sumathi Nursing Home,malleswaram,General Pediatrics,3
665019,Dr. Sharath Kumar Memorial Health Centre,malleswaram,General Pediatrics,3
1276829,Trustwell Hospitals,malleswaram,General Pediatrics,3
638070,P D Hinduja Sindhi Hospital,malleswaram,General Pediatrics,3
704386,Kaade Hospital,malleswaram,General Pediatrics,3
704935,Sri Venkateshwara Clinic,malleswaram,General Pediatrics,3
659241,Siri Clinic,malleswaram,General Pediatrics,3
1223949,Niuscope - Multi Speciality Clinic,malleswaram,General Pediatrics,3
1069981,Aviva Orthopaedics and Aditi Kids Clinic,malleswaram,General Pediatrics,3
2094651,Apollo Clinic,malleswaram,General Pediatrics,3
1444482,Medax Hospitals,malleswaram,General Pediatrics,3
1441596,Titli Breast Care Center,malleswaram,General Physician,3
1400915,Clinikk Health Hub,malleswaram,General Physician,3
628763,Ashakiran Woman's And Child Health Care Centre,malleswaram,General Physician,3
643020,Sri Ranganath Clinic,malleswaram,General Physician,3
636132,SLV Clinic,malleswaram,General Physician,3
689799,Lakshmi Speciality Clinic,malleswaram,General Physician,3
659264,Eswari Clinic,malleswaram,General Physician,3
1142122,Vital Diagnostics & Mathikere Speciality Centre,malleswaram,General Physician,3
1276829,Trustwell Hospitals,malleswaram,General Physician,3
638070,P D Hinduja Sindhi Hospital,malleswaram,General Physician,3
669280,Pramera Clinic,malleswaram,General Physician,3
1139007,Poornima Hospital,malleswaram,General Physician,3
673406,Sumathi Nursing Home,malleswaram,General Physician,3
643523,Mamatha Nursing Home,malleswaram,General Physician,3
1289775,R V Speciality Clinic,malleswaram,General Physician,3
1632889,Shree Sathya Sai Clinic,malleswaram,General Physician,3
1328149,Serenity - Skin Hair & Medicine Clinic,malleswaram,General Physician,3
662668,Krishna Clinic,malleswaram,General Physician,3
637572,MS Ramaiah Memorial Hospital,malleswaram,General Physician,3
958138,Spandana Nursing Home,malleswaram,General Psychiatry,3
1444482,Medax Hospitals,malleswaram,General Psychiatry,3
637572,MS Ramaiah Memorial Hospital,malleswaram,General Psychiatry,3
636002,Mallige Medical Centre,malleswaram,General Surgeon,3
684296,Ramesh Hospital,malleswaram,General Surgeon,3
1223243,RxDx Healthcare,malleswaram,General Surgeon,3
635375,Cloudnine Hospital,malleswaram,General Surgeon,3
1595756,Apollo Clinic,malleswaram,General Surgeon,3
1587580,Apollo Clinic,malleswaram,General Surgeon,3
1192794,Sanjeevini Homeopathy,malleswaram,Homeopathy,3
1119701,Bhadra Homoeo Clinic,malleswaram,Homeopathy,3
1369487,Dr. Grace Superspeciality Homeo Clinic & Research Center,malleswaram,Homeopathy,3
711687,Manipal Hospital Malleshwaram,malleswaram,Infertility Specialist,3
1169610,Nephroplus,malleswaram,Nephrologist,3
1276829,Trustwell Hospitals,malleswaram,Neurologist,3
1154556,Fortis Hospital,malleswaram,Neurologist,3
1269629,Synapse Neuro Physiotherapy Clinic,malleswaram,Neurologist,3
637572,MS Ramaiah Memorial Hospital,malleswaram,Oncologist,3
711687,Manipal Hospital Malleshwaram,malleswaram,Oncologist,3
1110980,Padmashri Orthopedic Clinic,malleswaram,Orthopaedics,3
880539,Pristine Hospital,malleswaram,Orthopaedics,3
688793,Punya Hospital,malleswaram,Orthopaedics,3
637212,Ganganagar Ortho Centre,malleswaram,Orthopaedics,3
688976,Rao's Ortho Clinic,malleswaram,Orthopaedics,3
692707,Orthoplus Poly Clinic,malleswaram,Orthopaedics,3
1590561,MS Ramaiah Old Hospital,malleswaram,Orthopaedics,3
1276289,Healzone  Physiocare,malleswaram,Physiotherapist,3
1135969,Physio 365 Physiotherapy Clinic,malleswaram,Physiotherapist,3
1154559,Fortis Hospitals,malleswaram,Pulmonologist,3
1444482,Medax Hospitals,malleswaram,Pulmonologist,3
2168765,GM Hospitals,malleswaram,Pulmonologist,3
1142515,Sparsh Hospital,malleswaram,Radiology,3
775696,"RMV Physiotherapy, RMV Hospital, Sanjay Nagar",malleswaram,Urologist,3
1111108,Shirdi Sai Hospital,malleswaram,Urologist,3
1276829,Trustwell Hospitals,malleswaram,Vascular Surgeon,3
880671,Medray Diagnostic Center,malleswaram,Vascular Surgeon,3
1262240,Hope Medical Centre,malleswaram,Vascular Surgeon,3
1138566,Rashi Diagnostic Centre,marathahalli,Cardiologist,3
1250275,Prachi Healthcare,marathahalli,Cardiologist,3
741393,Derma Solutions,marathahalli,Cosmetic/Plastic Surgeon,3
1442969,Shailja's ProDiet,marathahalli,Dietitian,3
1250275,Prachi Healthcare,marathahalli,ENT,3
1403894,Apollo Clinic,marathahalli,Gastroenterologist,3
1267986,Nurture Multispeciality Clinic,marathahalli,General Alt Medicine,3
748609,Palm Dent Care,marathahalli,General Dentistry,3
1036971,32 Smiles Multispeciality Dental Clinic,marathahalli,General Dentistry,3
1153131,Aayug Multispecialty Clinic,marathahalli,General Dermatology,3
765590,Medall Clumax Diagnostics,marathahalli,General Dermatology,3
1449393,Dr. Mithra Skin And Hair Clinic,marathahalli,General Dermatology,3
1342717,Divine Skin Clinic,marathahalli,General Dermatology,3
1220485,Maya Multi Speciality Hospital,marathahalli,General Gynecology,3
628290,Saarthak Eye Clinic,marathahalli,General Ophthalmology,3
1403894,Apollo Clinic,marathahalli,General Ophthalmology,3
1159880,MGA Hospital,marathahalli,General Physician,3
1317112,V-Care Residential Halfway Home,marathahalli,General Physician,3
681720,The Children's Clinic,marathahalli,General Psychiatry,3
2076082,Kauvery Hospital,marathahalli,Nephrologist,3
1692368,SVM Hospital,marathahalli,Neurologist,3
1236247,Pragati Clinic for Comprehensive Physiotherapy Care,marathahalli,Physiotherapist,3
1594564,"Sagar Hospital, Kumaraswamy Layout, Bangalore",minhaj nagar,Neurologist,3
1471896,Manoshanti,raghuvanahalli,General Psychiatry,3
1592046,Sri Eye Care,rahmath nagar,General Ophthalmology,3
1444414,Bangalore Hospital,rajarajeshwarinagar,Cardiologist,3
1168814,SS Sparsh Hospital,rajarajeshwarinagar,Cardiologist,3
